Path to Collection,Collection URL,Enabled/Disabled,Comments (and corresponding HEMCO extension switches)
HEMCO/ACET/v2014-07,http://geoschemdata.wustl.edu/ExtData/HEMCO/ACET/v2014-07,1,For SeaFlux
HEMCO/AEIC/v2015-01,http://geoschemdata.wustl.edu/ExtData/HEMCO/AEIC/v2015-01,1,For AEIC global aircraft
HEMCO/AFCID/v2018-04,http://geoschemdata.wustl.edu/ExtData/HEMCO/AFCID/v2018-04,1,For global AFCID
HEMCO/ALD2/v2017-03,http://geoschemdata.wustl.edu/ExtData/HEMCO/ALD2/v2017-03,1,For SeaFlux
HEMCO/AnnualScalar/v2014-07,http://geoschemdata.wustl.edu/ExtData/HEMCO/AnnualScalar/v2014-07,1,For XIAO_C3H8 and HTAP
HEMCO/BIOFUEL/v2019-08,http://geoschemdata.wustl.edu/ExtData/HEMCO/BIOFUEL/v2019-08,1,For XIAO_C3H8
HEMCO/BROMINE/v2015-02,http://geoschemdata.wustl.edu/ExtData/HEMCO/BROMINE/v2015-02,1,For LIANG_BROMOCARB
HEMCO/C2H6_2010/v2019-06,http://geoschemdata.wustl.edu/ExtData/HEMCO/C2H6_2010/v2019-06,1,For TZOMPASOSA_C2H6
HEMCO/CEDS/v2021-06,http://geoschemdata.wustl.edu/ExtData/HEMCO/CEDS/v2021-06,1,For CEDSv2
HEMCO/CH3I/v2014-07,http://geoschemdata.wustl.edu/ExtData/HEMCO/CH3I/v2014-07,1,For SeaFlux
HEMCO/CMIP6/v2020-03,http://geoschemdata.wustl.edu/ExtData/HEMCO/CMIP6/v2020-03,1,For SfcVMR and CMIP6_SFC_CH4
HEMCO/DMS/v2015-07,http://geoschemdata.wustl.edu/ExtData/HEMCO/DMS/v2015-07,1,For SeaFlux
HEMCO/DUST_DEAD/v2019-06,http://geoschemdata.wustl.edu/ExtData/HEMCO/DUST_DEAD/v2019-06,1,For DustDead
