jv_spec_Tmat: Spheroidal mineral dust optical properties at 12 wavelengths (inderjeet singh, rvmartin, 09/05/2024 )
==========================================================================================================
W(nm)      Q      r-eff  ss-alb  pi(0)   pi(1)    pi(2)   pi(3)   pi(4)   pi(5)   pi(6)   pi(7)  
0.30000 3.70366 0.15080 0.96322 1.00000 2.12366 2.54765 2.41353 1.92008 1.28893 0.74330 0.31833
0.35000 3.28051 0.15080 0.97674 1.00000 2.08561 2.31035 1.93484 1.28066 0.65513 0.30345 0.09562
0.40000 2.73908 0.15080 0.98542 1.00000 2.02065 2.03926 1.47212 0.80843 0.30643 0.10868 0.02918
0.44000 2.32064 0.15080 0.98834 1.00000 1.95803 1.82171 1.14306 0.55843 0.18088 0.05208 0.01193
0.50000 1.74678 0.15080 0.99170 1.00000 1.85242 1.50582 0.74477 0.30392 0.08378 0.01919 0.00355
0.55000 1.38187 0.15080 0.99289 1.00000 1.76347 1.30457 0.55279 0.19320 0.04657 0.00909 0.00143
0.60000 1.07406 0.15080 0.99374 1.00000 1.65491 1.14526 0.43630 0.13198 0.02777 0.00466 0.00062
0.67500 0.69588 0.15080 0.96834 1.00000 1.41668 0.94265 0.32794 0.08212 0.01427 0.00192 0.00020
0.80000 0.42461 0.15080 0.96607 1.00000 1.02337 0.72208 0.21411 0.04017 0.00517 0.00050 0.00002
0.87000 0.33000 0.15080 0.95910 1.00000 0.85745 0.65432 0.17565 0.02832 0.00313 0.00025 0.00001
1.00000 0.20182 0.15080 0.98719 1.00000 0.64037 0.58394 0.12904 0.01604 0.00137 0.00007 0.00000
1.02000 0.18780 0.15080 0.99102 1.00000 0.61487 0.57698 0.12374 0.01483 0.00121 0.00006 0.00000
0.30000 3.01516 0.25060 0.92205 1.00000 1.92584 2.57932 2.77644 2.87897 2.82592 2.70997 2.46430
0.35000 3.54451 0.25060 0.96162 1.00000 2.05022 2.70495 2.91284 2.89298 2.67155 2.31674 1.84314
0.40000 3.81512 0.25060 0.98071 1.00000 2.12343 2.73298 2.86036 2.66696 2.24584 1.71207 1.13239
0.44000 3.83139 0.25060 0.98673 1.00000 2.14413 2.69032 2.71212 2.37328 1.82497 1.24108 0.69564
0.50000 3.59447 0.25060 0.99215 1.00000 2.15036 2.57332 2.40884 1.87761 1.22239 0.68564 0.28637
0.55000 3.28706 0.25060 0.99407 1.00000 2.12890 2.43162 2.11259 1.47836 0.82233 0.40301 0.13888
0.60000 2.94365 0.25060 0.99538 1.00000 2.09290 2.26573 1.80747 1.12375 0.52242 0.22320 0.06898
